"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Rocketeer Boostbuggy","RG","U","97558","4.42","19357","5.59","78811","66.7%","55.5%","13758","59.9%","18512","53.7%","32270","56.3%","46261","54.9%","1.4pp"
"Sab-Sunen, Luxa Embodied","UG","M","6027","1.31","5237","1.29","31875","94.6%","59.7%","5583","67.8%","8902","68.0%","14485","67.9%","17031","52.5%","15.4pp"
"Samut, the Driving Force","WRG","R","31023","3.30","7216","3.85","27126","62.2%","53.9%","4415","54.8%","6505","57.0%","10920","56.1%","16107","52.3%","3.8pp"
"Sita Varma, Masked Racer","UG","R","24326","2.70","10789","2.72","52228","79.0%","56.6%","8993","58.8%","13664","61.1%","22657","60.2%","28886","53.4%","6.8pp"
"Skyserpent Seeker","UG","U","78014","3.58","25643","3.98","124524","79.2%","56.8%","21771","58.9%","32536","59.4%","54307","59.2%","68396","54.8%","4.4pp"
"Thundering Broodwagon","BG","U","77173","3.53","26260","3.86","132383","80.5%","57.8%","23125","58.7%","33497","62.7%","56622","61.1%","74078","55.2%","5.9pp"
"Veteran Beastrider","WG","U","85946","3.94","20528","4.71","91962","72.2%","57.0%","16159","59.5%","21443","59.8%","37602","59.7%","53918","55.0%","4.6pp"
"Voyage Home","WU","U","112657","5.09","20838","6.68","76126","60.8%","54.4%","12612","51.2%","20930","59.1%","33542","56.1%","41839","52.8%","3.3pp"
"Winter, Cursed Rider","UB","R","33317","3.48","8629","4.02","33208","64.6%","53.5%","5627","54.7%","8920","56.1%","14547","55.6%","18396","51.8%","3.8pp"
"Zahur, Glory's Past","WB","R","31301","3.36","7980","3.85","29401","61.4%","54.4%","5144","57.1%","7379","56.9%","12523","57.0%","16754","52.4%","4.6pp"
"Aetherjacket","","C","351167","6.60","37162","10.01","77618","35.1%","51.4%","13657","49.3%","19554","52.0%","33211","50.9%","44122","51.8%","-0.9pp"
"The Aetherspark","","M","4943","1.05","4762","1.05","29475","99.4%","56.7%","5096","61.7%","7380","60.4%","12476","60.9%","15356","52.0%","9.0pp"
"Camera Launcher","","C","354601","6.75","46090","9.91","118814","42.9%","53.3%","20939","51.0%","30229","55.2%","51168","53.5%","67092","53.1%","0.4pp"
"Guidelight Matrix","","C","360687","7.48","41063","10.97","50417","20.5%","52.9%","9278","51.4%","12996","54.1%","22274","53.0%","27982","52.7%","0.3pp"
"Lifecraft Engine","","R","26764","2.78","5996","3.21","25435","72.6%","51.6%","4314","50.7%","6485","52.2%","10799","51.6%","14445","51.4%","0.2pp"
"Marketback Walker","","R","14648","1.59","8740","1.61","51175","97.2%","55.1%","9237","55.7%","13178","57.2%","22415","56.6%","28323","53.6%","3.0pp"
"Marshals' Pathcruiser","","U","120177","5.25","25872","6.55","107106","67.2%","56.3%","19494","58.1%","27258","59.3%","46752","58.8%","59319","54.3%","4.5pp"
"Monument to Endurance","","R","26971","2.90","7295","3.14","25442","60.1%","50.6%","4538","48.0%","7643","53.5%","12181","51.5%","12978","49.6%","1.9pp"
"Pit Automaton","","U","137367","6.02","20532","8.58","60086","48.5%","54.5%","10720","53.6%","15608","54.3%","26328","54.0%","33436","55.0%","-1.0pp"
"Racers' Scoreboard","","U","149193","7.37","14638","11.26","6323","7.2%","48.9%","1090","45.0%","1726","49.9%","2816","48.0%","3379","49.6%","-1.6pp"
"Radiant Lotus","","M","26766","5.16","3288","7.99","53","0.3%","","7","","16","","23","","30","",""
"Rover Blades","","U","129899","5.54","13518","8.57","31264","39.2%","51.3%","5361","48.5%","7388","50.7%","12749","49.8%","18387","52.2%","-2.4pp"
